// Omitted instructions: All MMX instructions, LSL, LAR

AAA	37
AAD	D5 0A
AAD imm8	D5
AAM	D4 0A
AAM imm8	D4
AAS	3F
ADC AL, imm8	14
ADC AX, imm16	15
ADC EAX, imm32	15
ADC RAX, imm32	REX.W + 15
ADC r/m8, imm8	80 /2
ADC r/m8, imm8	REX + 80 /2
ADC r/m16, imm16	81 /2
ADC r/m32, imm32	81 /2
ADC r/m64, imm32	REX.W + 81 /2
ADC r/m16, imm8	83 /2
ADC r/m32, imm8	83 /2
ADC r/m64, imm8	REX.W + 83 /2
ADC r/m8, r8	10
ADC r/m8, r8	REX + 10
ADC r/m16, r16	11
ADC r/m32, r32	11
ADC r/m64, r64	REX.W + 11
ADC r8, r/m8	12
ADC r8, r/m8	REX + 12
ADC r16, r/m16	13
ADC r32, r/m32	13
ADC r64, r/m64	REX.W + 13
ADCX r32, r/m32	66 0F 38 F6
ADCX r64, r/m64	66 REX.w 0F 38 F6
ADD AL, imm8	04
ADD AX, imm16	05
ADD EAX, imm32	05
ADD RAX, imm32	REX.W + 05
ADD r/m8, imm8	80 /0
ADD r/m8, imm8	REX + 80 /0
ADD r/m16, imm16	81 /0
ADD r/m32, imm32	81 /0
ADD r/m64, imm32	REX.W + 81 /0
ADD r/m16, imm8	83 /0
ADD r/m32, imm8	83 /0
ADD r/m64, imm8	REX.W + 83 /0
ADD r/m8, r8	00
ADD r/m8, r8	REX + 00
ADD r/m16, r16	01
ADD r/m32, r32	01
ADD r/m64, r64	REX.W + 01
ADD r8, r/m8	02
ADD r8, r/m8	REX + 02
ADD r16, r/m16	03
ADD r32, r/m32	03
ADD r64, r/m64	REX.W + 03
ADDPD xmm1, xmm2/m128	66 0F 58
ADDPS xmm1, xmm2/m128	0F 58
ADDSD xmm1, xmm2/m64	F2 0F 58
ADDSS xmm1, xmm2/m32	F3 0F 58
ADDSUBPD xmm1, xmm2/m128	66 0F D0
ADDSUBPS xmm1, xmm2/m128	F2 0F D0
ADOX r32, r/m32	F3 0F 38 F6
ADOX r64, r/m64	F3 REX.w 0F 38 F6
AESDEC xmm1, xmm2/m128	66 0F 38 DE
AESDECLAST xmm1, xmm2/m128	66 0F 38 DF
AESENC xmm1, xmm2/m128	66 0F 38 DC
AESENCLAST xmm1, xmm2/m128	66 0F 38 DD
AESIMC xmm1, xmm2/m128	66 0F 38 DB
AESKEYGENASSIST xmm1, xmm2/m128, imm8	66 0F 3A DF
AND AL, imm8	24
AND AX, imm16	25
AND EAX, imm32	25
AND RAX, imm32	REX.W + 25
AND r/m8, imm8	80 /4
AND r/m8, imm8	REX + 80 /4
AND r/m16, imm16	81 /4
AND r/m32, imm32	81 /4
AND r/m64, imm32	REX.W + 81 /4
AND r/m16, imm8	83 /4
AND r/m32, imm8	83 /4
AND r/m64, imm8	REX.W + 83 /4
AND r/m8, r8	20
AND r/m8, r8	REX + 20
AND r/m16, r16	21
AND r/m32, r32	21
AND r/m64, r64	REX.W + 21
AND r8, r/m8	22
AND r8, r/m8	REX + 22
AND r16, r/m16	23
AND r32, r/m32	23
AND r64, r/m64	REX.W + 23
ANDNPD xmm1, xmm2/m128	66 0F 55
ANDNPS xmm1, xmm2/m128	0F 55
ANDPD xmm1, xmm2/m128	66 0F 54
ANDPS xmm1, xmm2/m128	0F 54
ARPL r/m16, r16	63
BLENDPD xmm1, xmm2/m128, imm8	66 0F 3A 0D
BLENDPS xmm1, xmm2/m128, imm8	66 0F 3A 0C
BLENDVPD xmm1, xmm2/m128 , <XMM0>	66 0F 38 15
BLENDVPS xmm1, xmm2/m128, <XMM0>	66 0F 38 14
BNDCL bnd, r/m32	F3 0F 1A
BNDCL bnd, r/m64	F3 0F 1A
BNDCU bnd, r/m32	F2 0F 1A
BNDCU bnd, r/m64	F2 0F 1A
BNDCN bnd, r/m32	F2 0F 1B
BNDCN bnd, r/m64	F2 0F 1B
BNDLDX bnd, m	0F 1A
BNDMK bnd, m32	F3 0F 1B
BNDMK bnd, m64	F3 0F 1B
BNDMOV bnd1, bnd2/m64	66 0F 1A
BNDMOV bnd1, bnd2/m128	66 0F 1A
BNDMOV bnd1/m64, bnd2	66 0F 1B
BNDMOV bnd1/m128, bnd2	66 0F 1B
BNDSTX m, bnd	0F 1B
BOUND r16, m16&16	62
BOUND r32, m32&32	62
BSF r16, r/m16	0F BC
BSF r32, r/m32	0F BC
BSF r64, r/m64	REX.W + 0F BC
BSR r16, r/m16	0F BD
BSR r32, r/m32	0F BD
BSR r64, r/m64	REX.W + 0F BD
BSWAP r32	0F C8
BSWAP r64	REX.W + 0F C8
BT r/m16, r16	0F A3
BT r/m32, r32	0F A3
BT r/m64, r64	REX.W + 0F A3
BT r/m16, imm8	0F BA /4
BT r/m32, imm8	0F BA /4
BT r/m64, imm8	REX.W + 0F BA /4
BTC r/m16, r16	0F BB
BTC r/m32, r32	0F BB
BTC r/m64, r64	REX.W + 0F BB
BTC r/m16, imm8	0F BA /7
BTC r/m32, imm8	0F BA /7
BTC r/m64, imm8	REX.W + 0F BA /7
BTR r/m16, r16	0F B3
BTR r/m32, r32	0F B3
BTR r/m64, r64	REX.W + 0F B3
BTR r/m16, imm8	0F BA /6
BTR r/m32, imm8	0F BA /6
BTR r/m64, imm8	REX.W + 0F BA /6
BTS r/m16, r16	0F AB
BTS r/m32, r32	0F AB
BTS r/m64, r64	REX.W + 0F AB
BTS r/m16, imm8	0F BA /5
BTS r/m32, imm8	0F BA /5
BTS r/m64, imm8	REX.W + 0F BA /5
CALL rel16	E8
CALL rel32	E8
CALL r/m16	FF /2
CALL r/m32	FF /2
CALL r/m64	FF /2
CALL ptr16:16	9A
CALL ptr16:32	9A cp
CALL m16:16	FF /3
CALL m16:32	FF /3
CALL m16:64	REX.W + FF /3
CBW	98
CWDE	98
CDQE	REX.W + 98
CLAC	0F 01 CA
CLC	F8
CLD	FC
CLFLUSH m8	0F AE /7
CLFLUSHOPT m8	66 0F AE /7
CLI	FA
CLTS	0F 06
CMC	F5
CMOVA r16, r/m16	0F 47
CMOVA r32, r/m32	0F 47
CMOVA r64, r/m64	REX.W + 0F 47
CMOVAE r16, r/m16	0F 43
CMOVAE r32, r/m32	0F 43
CMOVAE r64, r/m64	REX.W + 0F 43
CMOVB r16, r/m16	0F 42
CMOVB r32, r/m32	0F 42
CMOVB r64, r/m64	REX.W + 0F 42
CMOVBE r16, r/m16	0F 46
CMOVBE r32, r/m32	0F 46
CMOVBE r64, r/m64	REX.W + 0F 46
CMOVC r16, r/m16	0F 42
CMOVC r32, r/m32	0F 42
CMOVC r64, r/m64	REX.W + 0F 42
CMOVE r16, r/m16	0F 44
CMOVE r32, r/m32	0F 44
CMOVE r64, r/m64	REX.W + 0F 44
CMOVG r16, r/m16	0F 4F
CMOVG r32, r/m32	0F 4F
CMOVG r64, r/m64	REX.W + 0F 4F
CMOVGE r16, r/m16	0F 4D
CMOVGE r32, r/m32	0F 4D
CMOVGE r64, r/m64	REX.W + 0F 4D
CMOVL r16, r/m16	0F 4C
CMOVL r32, r/m32	0F 4C
CMOVL r64, r/m64	REX.W + 0F 4C
CMOVLE r16, r/m16	0F 4E
CMOVLE r32, r/m32	0F 4E
CMOVLE r64, r/m64	REX.W + 0F 4E
CMOVNA r16, r/m16	0F 46
CMOVNA r32, r/m32	0F 46
CMOVNA r64, r/m64	REX.W + 0F 46
CMOVNAE r16, r/m16	0F 42
CMOVNAE r32, r/m32	0F 42
CMOVNAE r64, r/m64	REX.W + 0F 42
CMOVNB r16, r/m16	0F 43
CMOVNB r32, r/m32	0F 43
CMOVNB r64, r/m64	REX.W + 0F 43
CMOVNBE r16, r/m16	0F 47
CMOVNBE r32, r/m32	0F 47
CMOVNBE r64, r/m64	REX.W + 0F 47
CMOVNC r16, r/m16	0F 43
CMOVNC r32, r/m32	0F 43
CMOVNC r64, r/m64	REX.W + 0F 43
CMOVNE r16, r/m16	0F 45
CMOVNE r32, r/m32	0F 45
CMOVNE r64, r/m64	REX.W + 0F 45
CMOVNG r16, r/m16	0F 4E
CMOVNG r32, r/m32	0F 4E
CMOVNG r64, r/m64	REX.W + 0F 4E
CMOVNGE r16, r/m16	0F 4C
CMOVNGE r32, r/m32	0F 4C
CMOVNGE r64, r/m64	REX.W + 0F 4C
CMOVNL r16, r/m16	0F 4D
CMOVNL r32, r/m32	0F 4D
CMOVNL r64, r/m64	REX.W + 0F 4D
CMOVNLE r16, r/m16	0F 4F
CMOVNLE r32, r/m32	0F 4F
CMOVNLE r64, r/m64	REX.W + 0F 4F
CMOVNO r16, r/m16	0F 41
CMOVNO r32, r/m32	0F 41
